LogID,Attendance Type,Course Code,User Role,Classroom,Session Date,Logged By,Verification,System Notes/Log Details
ATT-001,Absent,ICT-101,1st Year Student,Lecture Hall,8/7/2026,Student,Rejected,Forgot to scan QR code before it expired.
ATT-002,Absent,ICT-202,2nd Year Student,ICT Lab,8/7/2026,System,Rejected,Friend scanned QR for them; system blocked proxy attempt.
ATT-003,Present,ICT-303,3rd Year Student,Auditorium,8/7/2026,Student,Verified,Arrived late due to bus delay but successfully scanned in.
ATT-004,Present,ICT-404,4th Year Student,Room 402,8/7/2026,Student,Verified,Phone camera registered wide-angle projection code perfectly.
ATT-005,Absent,ICT-203,2nd Year Student,ICT Lab,1/7/2026,Student,Rejected,Phone battery died right before the lecture started.
ATT-006,Present,ICT-102,1st Year Student,Lecture Hall,1/7/2026,Student,Verified	Scanned QR code and data verified successfully.
ATT-007,Absent,ICT-310,3rd Year Student,Auditorium,1/7/2026,Student,Rejected,Proxy attempt blocked; device ID mismatched roster.
ATT-008,Absent,ICT-105,1st Year Student,Lecture Hall,1/7/2026,Student,Rejected,Arrived on time but the QR code had alrready expired.
ATT-009,Present,ICT-205,2nd Year Student,ICT Lab,1/7/2026,Student,Verified,Corrected class selection and scanned successfully.
ATT-010,Absent,ICT-205,2nd Year Student,Bus Stop,24/6/2026,System,Rejected,Scanned OR code from outside classroom; blocked by GPS boundaries.
ATT-011,Present,ICT-111,1st Year Student,Lecture Hall,24/6/2026,Student,Verified,Received instant feedback showing check-in was successful.
ATT-012,Present,ICT-321,3rd Year Student,Auditorium,24/6/2026,Student,Verified,Scanned the QR code from the very back row easily.
ATT-013,Absent,ICT-202,2nd Year Student,Cafeteria,24/6/2026,System,Rejected,GPS telemetry failed; user was at cafeteria during lecture.
ATT-014,Present,ICT-201,2nd Year Student,ICT Lab,24/6/2026,Student,Verified	Selected the right section and scanned flawlessly.
ATT-015,Absent,ICT-105,1st Year Student,Lecture Hall,17/6/2026,Student,Rejected	Physical paper sheet signature rejected due to absence.
ATT-016,Present,ICT-311,3rd Year Student,Auditorium,17/6/2026,Student,Verified,Attendance secured via dynamic timed QR code rotation.
ATT-017,Present,ICT-203,2nd Year Student,ICT Lab,17/6/2026,Student,Verified	Confirmed presence as digital roster synced instantly.
ATT-018,Present,ICT-110,Course Coordinator,Staff Office,17/6/2026,Lecturer,Verified	Lecturer dashboard updated to display active student counts.
ATT-019,Present,ICT-106,Senior Lecturer,Auditorium 2,17/6/2026,Lecturer,Verified,Digital roster replaces slow manual paper sheets.
ATT-020,Present,ICT-22,Depth Coordinator,Hall 1,17/6/2026,Lecturer,Verified,Attendance metrics sync cleanly to university backend database.
